"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Student92500UserStory2Test","","Sat May 16 21:56:59 WEST 2026","broken","Sat May 16 21:56:59 WEST 2026","","battleship.selenide.g92500.Student92500UserStory2Test","battleship.selenide.g92500.Student92500UserStory2Test",""
"Verify that the player has the option to play against a friend.","1060","US3 - Play with a Friend","","Sat May 16 21:59:08 WEST 2026","passed","Sat May 16 21:59:09 WEST 2026","","battleship.selenide.g92500.Student92500UserStory3Test","battleship.selenide.g92500.Student92500UserStory3Test","testPlayWithFriendOption"
"Valida a opção de jogar com robot usando Selenide.","7477","US4 - Jogar com Robot (Selenide)","","Sat May 16 21:58:58 WEST 2026","failed","Sat May 16 21:59:05 WEST 2026","","battleship.selenide.g92500.SelenideUserStoriesTest","battleship.selenide.g92500.SelenideUserStoriesTest","testPlayWithComputerOption"
"","7588","testOpenMainPage()","","Sat May 16 21:57:30 WEST 2026","passed","Sat May 16 21:57:37 WEST 2026","","battleship.g92500.UserStory1Test","battleship.g92500.UserStory1Test","testOpenMainPage"
"","5183","Como jogador, quero ver o leaderboard para ver os melhores jogadores","","Sat May 16 21:58:33 WEST 2026","passed","Sat May 16 21:58:38 WEST 2026","","battleship.selenide.g105446.Student105446UserStory2SelenideTest","battleship.selenide.g105446.Student105446UserStory2SelenideTest","playerCanSeeLeaderboard"
"Valida a opção de jogar com amigo usando Selenide.","753","US3 - Jogar com Amigo (Selenide)","","Sat May 16 21:59:07 WEST 2026","passed","Sat May 16 21:59:08 WEST 2026","","battleship.selenide.g92500.SelenideUserStoriesTest","battleship.selenide.g92500.SelenideUserStoriesTest","testPlayWithFriendOption"
"","8224","Como jogador, quero fazer login para aceder à minha conta","","Sat May 16 22:00:08 WEST 2026","passed","Sat May 16 22:00:16 WEST 2026","","battleship.g105446.UserStory3Test","battleship.g105446.UserStory3Test","playerCanLogin"
"Validates that the Battleship Online home page opens and presents the game title.","4002","User opens the Battleship home page","","Sat May 16 21:59:25 WEST 2026","passed","Sat May 16 21:59:29 WEST 2026","","battleship.selenide.g111105.Student111105UserStory1SelenideTest","battleship.selenide.g111105.Student111105UserStory1SelenideTest","userCanOpenBattleshipHomePage"
"","18990","testPlayWithComputerOption()","","Sat May 16 21:57:47 WEST 2026","failed","Sat May 16 21:58:06 WEST 2026","","battleship.g92500.UserStory4Test","battleship.g92500.UserStory4Test","testPlayWithComputerOption"
"","0","Student92500UserStory3Test","","Sat May 16 21:56:59 WEST 2026","broken","Sat May 16 21:56:59 WEST 2026","","battleship.selenide.g92500.Student92500UserStory3Test","battleship.selenide.g92500.Student92500UserStory3Test",""
"Validates that the page presents an option to play with or invite a friend.","5418","User finds the friend game option","","Sat May 16 21:59:33 WEST 2026","passed","Sat May 16 21:59:38 WEST 2026","","battleship.selenide.g111105.Student111105UserStory3SelenideTest","battleship.selenide.g111105.Student111105UserStory3SelenideTest","userCanChooseToPlayWithFriend"
"","13503","Como jogador, quero fazer login para aceder à minha conta","","Sat May 16 21:58:38 WEST 2026","failed","Sat May 16 21:58:51 WEST 2026","","battleship.selenide.g105446.Student105446UserStory3SelenideTest","battleship.selenide.g105446.Student105446UserStory3SelenideTest","playerCanLogin"
"","7933","userCanReadBattleshipRules()","","Sat May 16 21:58:21 WEST 2026","passed","Sat May 16 21:58:29 WEST 2026","","battleship.UserStory2Test","battleship.UserStory2Test","userCanReadBattleshipRules"
"","0","Student111105UserStory2SelenideTest","","Sat May 16 21:56:59 WEST 2026","broken","Sat May 16 21:56:59 WEST 2026","","battleship.selenide.g111105.Student111105UserStory2SelenideTest","battleship.selenide.g111105.Student111105UserStory2SelenideTest",""
"","10240","Como jogador, quero ver o leaderboard para ver os melhores jogadores","","Sat May 16 21:59:48 WEST 2026","passed","Sat May 16 21:59:58 WEST 2026","","battleship.g105446.UserStory2Test","battleship.g105446.UserStory2Test","playerCanSeeLeaderboard"
"","10845","userCanChooseToPlayWithFriend()","","Sat May 16 21:58:47 WEST 2026","passed","Sat May 16 21:58:57 WEST 2026","","battleship.UserStory3Test","battleship.UserStory3Test","userCanChooseToPlayWithFriend"
"Validates that the page presents an option to play against a robot, computer or random opponent.","4851","User finds the automatic opponent option","","Sat May 16 21:59:19 WEST 2026","passed","Sat May 16 21:59:24 WEST 2026","","battleship.selenide.g111105.Student111105UserStory4SelenideTest","battleship.selenide.g111105.Student111105UserStory4SelenideTest","userCanChooseAutomaticOpponent"
"","13951","Como jogador, quero criar um nickname para me identificar no jogo","","Sat May 16 21:58:00 WEST 2026","passed","Sat May 16 21:58:14 WEST 2026","","battleship.selenide.g105446.Student105446UserStory1SelenideTest","battleship.selenide.g105446.Student105446UserStory1SelenideTest","playerCanCreateNickname"
"","0","Student92500UserStory4Test","","Sat May 16 21:56:59 WEST 2026","broken","Sat May 16 21:56:59 WEST 2026","","battleship.selenide.g92500.Student92500UserStory4Test","battleship.selenide.g92500.Student92500UserStory4Test",""
"Validates that the Battleship rules are available on the page.","4113","User reads the Battleship rules","","Sat May 16 21:59:29 WEST 2026","passed","Sat May 16 21:59:33 WEST 2026","","battleship.selenide.g111105.Student111105UserStory2SelenideTest","battleship.selenide.g111105.Student111105UserStory2SelenideTest","userCanReadBattleshipRules"
"Verify that the player can consult the game rules on the main page.","4879","US2 - Consult Rules","","Sat May 16 21:59:09 WEST 2026","passed","Sat May 16 21:59:14 WEST 2026","","battleship.selenide.g92500.Student92500UserStory2Test","battleship.selenide.g92500.Student92500UserStory2Test","testConsultRules"
"","0","SelenideUserStoriesTest","","Sat May 16 21:56:59 WEST 2026","broken","Sat May 16 21:56:59 WEST 2026","","battleship.selenide.g92500.SelenideUserStoriesTest","battleship.selenide.g92500.SelenideUserStoriesTest",""
"","17051","Como jogador, quero navegar para a página de torneios","","Sat May 16 21:58:15 WEST 2026","failed","Sat May 16 21:58:33 WEST 2026","","battleship.selenide.g105446.Student105446UserStory4SelenideTest","battleship.selenide.g105446.Student105446UserStory4SelenideTest","playerCanNavigateToTournaments"
"","9490","userCanOpenBattleshipHomePage()","","Sat May 16 21:57:20 WEST 2026","passed","Sat May 16 21:57:30 WEST 2026","","battleship.UserStory1Test","battleship.UserStory1Test","userCanOpenBattleshipHomePage"
"Valida a abertura da página principal usando Selenide.","765","US1 - Abrir Página Principal (Selenide)","","Sat May 16 21:59:05 WEST 2026","passed","Sat May 16 21:59:06 WEST 2026","","battleship.selenide.g92500.SelenideUserStoriesTest","battleship.selenide.g92500.SelenideUserStoriesTest","testOpenMainPage"
"Valida a consulta das regras usando Selenide.","893","US2 - Consultar Regras (Selenide)","","Sat May 16 21:59:06 WEST 2026","passed","Sat May 16 21:59:07 WEST 2026","","battleship.selenide.g92500.SelenideUserStoriesTest","battleship.selenide.g92500.SelenideUserStoriesTest","testConsultRules"
"","14742","testPlayWithFriendOption()","","Sat May 16 21:58:06 WEST 2026","passed","Sat May 16 21:58:21 WEST 2026","","battleship.g92500.UserStory3Test","battleship.g92500.UserStory3Test","testPlayWithFriendOption"
"","0","Student111105UserStory3SelenideTest","","Sat May 16 21:56:59 WEST 2026","broken","Sat May 16 21:56:59 WEST 2026","","battleship.selenide.g111105.Student111105UserStory3SelenideTest","battleship.selenide.g111105.Student111105UserStory3SelenideTest",""
"","0","Student92500UserStory1Test","","Sat May 16 21:56:59 WEST 2026","broken","Sat May 16 21:56:59 WEST 2026","","battleship.selenide.g92500.Student92500UserStory1Test","battleship.selenide.g92500.Student92500UserStory1Test",""
"Verify that the player can open the main page of Battleship Online.","4681","US1 - Open Main Page","","Sat May 16 21:58:52 WEST 2026","passed","Sat May 16 21:58:56 WEST 2026","","battleship.selenide.g92500.Student92500UserStory1Test","battleship.selenide.g92500.Student92500UserStory1Test","testOpenMainPage"
"","9427","testConsultRules()","","Sat May 16 21:57:37 WEST 2026","passed","Sat May 16 21:57:47 WEST 2026","","battleship.g92500.UserStory2Test","battleship.g92500.UserStory2Test","testConsultRules"
"","0","Student111105UserStory4SelenideTest","","Sat May 16 21:56:59 WEST 2026","broken","Sat May 16 21:56:59 WEST 2026","","battleship.selenide.g111105.Student111105UserStory4SelenideTest","battleship.selenide.g111105.Student111105UserStory4SelenideTest",""
"","0","Student111105UserStory1SelenideTest","","Sat May 16 21:56:59 WEST 2026","broken","Sat May 16 21:56:59 WEST 2026","","battleship.selenide.g111105.Student111105UserStory1SelenideTest","battleship.selenide.g111105.Student111105UserStory1SelenideTest",""
"","8892","Como jogador, quero criar um nickname para me identificar no jogo","","Sat May 16 21:59:39 WEST 2026","passed","Sat May 16 21:59:48 WEST 2026","","battleship.g105446.UserStory1Test","battleship.g105446.UserStory1Test","playerCanCreateNickname"
"","17978","userCanChooseAutomaticOpponent()","","Sat May 16 21:58:29 WEST 2026","passed","Sat May 16 21:58:47 WEST 2026","","battleship.UserStory4Test","battleship.UserStory4Test","userCanChooseAutomaticOpponent"
"Verify that the player has the option to play against a computer (robot).","5012","US4 - Play with Computer","","Sat May 16 21:59:14 WEST 2026","failed","Sat May 16 21:59:19 WEST 2026","","battleship.selenide.g92500.Student92500UserStory4Test","battleship.selenide.g92500.Student92500UserStory4Test","testPlayWithComputerOption"
"","9840","Como jogador, quero navegar para a página de torneios","","Sat May 16 21:59:58 WEST 2026","broken","Sat May 16 22:00:08 WEST 2026","","battleship.g105446.UserStory4Test","battleship.g105446.UserStory4Test","playerCanNavigateToTournaments"
